Simon Bolivar, Monterrey.
Three billion and nine hundred lire, forty billion and eight hundred.
Fifty-six pesetas, eight crowns.
One euro, twenty-three euros.
Three pounds, one penny.
Two thousand dollars and one cent, fifteen million pounds and ten pence.
One cent, eighteen cents.
Thirty-nine marks, two pounds sterling.
Twenty nickles in one bill, or one-twentieth of a buck.
There are ten dimes to a dollar, or four quarters to a dollar.
One dime, three quarters.
One quarter, one dime.
Seventeen dollars or eighty, twelve million and eight.
Milliards, milliards.
Thousands, thousands.
Billions, billions.
Millions, millions.
Trillions, trillions.
Millimeter, millimeter.
Kilometer, kilometer.
One milliard, three milliard and nine.
Fourteen million and nine, seven hundred and eight.
One billion, two billion.
One trillion, fourteen trillion.
One billion, three billion and three.
Monday, Monday.
Tuesday, Tuesday.
Wednesday, Wednesday.
Thursday, Thursday.
Friday, Friday.
Saturday, Saturday.
Sunday, Sunday.
January, January.
February, February.
March, March.
April, April.
May, May.
June, June.
July, July.
August, August.
September, September.
October, October.
November, November.
December, December.
Last Saturday was not Friday, November nineteen ninety-seven.
Friday the twelfth of October, or next Sunday.
January two thousand and seven, February two thousand and ten.
June eighth in fifteen hundred, March in eighteen oh two.
January fourth in ninety-three, or in July this year.
Every day in October, at one o'clock.
Quarter after eight is like quarter past eight.
I saw you on Monday, September fourteenth last fall.
Wednesday is Wednesday, Saturday is Saturday.
May is May, December is not January.
You met him last Tuesday, and you left him on Wednesday.
Monday in spring, but Thursday in June.
Third of August, next Tuesday.
From January, to Wednesday.
July in two years, to Wednesday in May.
Spring came on March tenth, and lasted until the first Monday in April.
From Tuesday April thirteenth, until the second Sunday in May.
January the ninth in the nineties, April sixth in ninety-eight.
April seventh at two thirty, on August eleventh.
February in two years' time, in July ninety-five.
From Thursday the eighth of June, until next fall.
June eighth in the nineteen hundreds, or March in eighteen oh two.
November is November, August is warm.
I saw her on Monday, September fourteenth.
In September seventy-nine, one Canadian dollar cost around ten thousand Danish kroner.
Friday October eleventh, in the coming weeks.
It will arrive at nine oh five, in December two thousand.
Sunday January sixth twenty ten, comes before Tuesday November tenth two thousand and eleven.
February twenty-ninth is a leap year, it comes every quarter century.
Please, call back later at ten thirty a. m.
It arrives at eight eleven, and I appreciate this.
They arrive at fifteen past eight, for four Sundays.
First enter oh one one, and then the local phone number.
Area code, two oh two.
Phone, oh or one, followed by four one one, two eight oh, one five oh oh.
Three oh six, three seven eight, eight oh one six.
Four oh four, two oh three, zero two zero one.
You can call at, five oh three, eight zero seven eight.
One acre and eighty-nine inches, nine acres not eighteen yards.
Half of a pint, four gallons.
Two miles or four yards, eight yards and one foot.
One acre, three miles.
One mile and four feet, one acre.
Four kilos, forty-six.
Two acres, ninety.
Just one foot, or three kilometers.
One mile, three acres.
Still eight kilometers, and two inches.
Five miles, eleven milligrams.
Four inches weigh two pounds, two barrels weigh three pounds.
One ounce is not a cup, six ounces are not one gallon.
One gallon is good, many gallons are better.
Nine gallons, one pint.
One pint and three cups, eighteen knots and four gallons.
Five miles, six feet.
One acre is not one inch, and the soil was not affected by becquerels.
One foot and eight inches, seven acres are not eighteen yards.
Only one yard, one yard and two inches.
Two pounds are not four fluid ounces, but three nautical miles equal one ounce.
One pound is not one ounce, and one jigger is not seventeen ounces.
One inch is not the same as one pound, and one pound is not the same as one yard.
One cup is not one gallon, one cup is not one mile.
Two cups are not two pints, those pints are pints.
Two francs, eight miles per hour.
One hectare, forty-six hectares.
One square meter is not equal to one square foot, one square foot is not equal to one square meter.
Three square meters and nine square feet, twelve square feet and thirteen square meters.
Three cubic meters, seventy square feet.
Zero degrees Celsius equals thirty-two degrees Fahrenheit, ninety-nine degrees Fahrenheit equals thirty-seven degrees Celsius.
Ten degrees Celsius, or fifty degrees Fahrenheit.
One siemens, or ten siemens.
Winds traveled at eight point six meters per second, or four point five meters per second.
Seventeen amperes and one candela, one ampere and fifty-two candelas.
Ninety candelas and one ampere, one hertz and five hundred amperes.
Sixty-one joules and one coulomb, eighty-eight teracoulombs and seventy-seven joules.
One coulomb and one joule, forty-one siemens and six hundred and twenty coulombs.
Three billion hertz, or one hertz.
One ohm and three thousand amperes, two ohms and one ampere.
One weber and eight hundred candelas, one joule and one candela.
Five thousand webers and nine hundred kilojoules, one lumen and one coulomb.
Eight hundred lumens and one becquerel, one quart and one joule.
Six thousand quarts and seventy-one coulombs, fifteen becquerels and one ohm.
One ohm, or fifty-five ohms.
Three quarters of a quart, and a quarter of a weber.
Zero point one eight one ohms, or half a lumen.
A quarter of a weber, and three quarters of a becquerel.
Six point two one eight webers, or one point four eight one webers.
A third of a lumen, and two thirds of a kilowatt-hour.
Eight point three eight becquerels, zero point two quarts.
Five hundred and seventy-four lumens, and a third of a quart.
Twelve point six quarts, and eight thousand fluid ounces.
Three ninths of a meter, or a fifth of a liter.
The hundredth tablespoon, and the seventieth meter.
The twentieth liter and the sixtieth hectoliter, the tenth meter and the eightieth decimeter.
One million centiliters and four billion femtoliters, eleven million picofarads and thousands of nanoseconds.
Five trillion microwatts, or two trillion decanewtons.
Seven thousand terabytes, and nine billion megabytes.
Add four and a half tablespoons, and a pinch of salt.
Three quarters of a teaspoon, is roughly two full tablespoons.
One half cup of butter mixed in with three quarter cups of milk, makes half a dozen batch of one-inch cookies.
One square meter is the same as a meter squared, a meter squared is the same as one meter square.
Minus twenty-five degrees Fahrenheit is negative thirty degrees Celsius, which is forty-two degrees below zero.
James, James.
John, John.
Robert, Robert.
David, David.
William, William.
Jennifer, Jennifer.
Mary, Mary.
Richard, Richard.
Thomas, Thomas.
Joseph, Joseph.
Patricia, Patricia.
Charles, Charles.
Linda, Linda.
Lisa, Lisa.
Christopher, Christopher.
Mark, Mark.
Jason, Jason.
Brian, Brian.
Daniel, Daniel.
Michelle, Michelle.
Barbara, Barbara.
Kimberly, Kimberly.
Susan, Susan.
Karen, Karen.
Paul, Paul.
Angela, Angela.
Melissa, Melissa.
Kevin, Kevin.
Anthony, Anthony.
Elizabeth, Elizabeth.
Steven, Steven.
Kenneth, Kenneth.
Sandra, Sandra.
Amy, Amy.
Donald, Donald.
Timothy, Timothy.
Maria, Maria.
Deborah, Deborah.
Donna, Donna.
Jeffrey, Jeffrey.
Eric, Eric.
Cynthia, Cynthia.
Matthew, Matthew.
Scott, Scott.
Sharon, Sharon.
Gary, Gary.
Nancy, Nancy.
Stephanie, Stephanie.
Kim Whitlock, Pedro Lincoln.
Nelson Windham, Rafael Jacques.
Vickie Sheehan, Maurice Meek.
Bill Barajas, Charlie Watters.
Frederick Thorpe, Naomi Mabry.
Shannon Gold, Ben Wilbanks.
Anita Thao, Colleen Eddy.
Valerie Joiner, Brett Medeiros.
Amber Ezell, Bernice Drummond.
Armando Barksdale, Armando Barnhill.
Katie Bernstein, Billie Cornwell.
Annette Clemens, Carol Jaramillo.
Gina Fonseca, Raul Harlan.
Neil Chavis, Constance Boykin.
Robert Duggan, Claude Hammons.
Melanie Mark, Caroline Piper.
David Vernon, Lynn Mckenna.
Brian Swain, Marjorie Scruggs.
Geraldine Behrens, Marlene Corona.
Ronnie Macon, Carol Smart.
Ramona Flanders, Lee Wallis.
Chris Kang, Alexander Browne.
Debbie Lockwood, Greg Arias.
Roy Greco, Maria Lively.
Julio Rodrigues, Dustin Hurt.
Jerome Woody, Brett Hatch.
Dean Reeder, Derek Bryson.
Frederick Grier, Dwayne Doss.
Rosie Rhoades, Allison Soriano.
Frank Montalvo, Jessie Goddard.
Roy Ogden, Erica Gary.
Jeanette Dube, James Gunderson.
Jessie Lanier, Elmer Sierra.
Bryan Dodd, Terri Gooch.
Elsie Fultz, Beatrice Mccrary.
Valerie Cleary, Clyde Sousa.
Amber Andrade, Elaine Bourgeois.
Angie Main, Allison Pullen.
Everett Arredondo, Caroline Calvert.
Melanie Harlow, Kenneth Shipman.
David Weinstein, Lee Hoyt.
Donald Polanco, Nellie Kaiser.
Gabriel Pulliam, Sue Segura.
Charlotte Madison, Vernon Ledford.
Lynda Irving, Lance Hook.
Bob Allred, Lester Newkirk.
Max Porterfield, Belinda Levin.
Audrey Lachance, Alma Grossman.
Gordon Parish, Juanita Downing.
Dianne Moreland, Andre Vogel.
Sherri Jacobsen, June Falcon.
Antonio Sneed, Jose Rosado.
Duane Crain, Miriam Looney.
Lance Oleary, Angie Herrmann.
Sam Lentz, Mattie Creech.
Edith Boudreaux, Yolanda Newcomb.
Constance Ho, Felix Carmichael.
Hazel Farris, Sabrina Pfeiffer.
Jo Culp, Katie Mccabe.
Matthew Smalley, Greg Donohue.
Chester Helton, Eddie Heard.
Luis Grove, Suzanne Humphries.
Eleanor Romano, Renee Busch.
Vivian Upchurch, Georgia Hutcherson.
Josephine Fogle, Beth Hawes.
Willie Ennis, Brad Hauser.
Laurie Ragsdale, Jimmie Barnhart.
Frederick Krause, Eileen Messina.
Sam A. Kraft, Philip A. Ibarra.
Allen B Law, Delores B Yanez.
Anita C Mcginnis, Chester C Wetzel.
Alfredo D Lamar, Dianne D Kohler.
Troy E Polk, Renee E Wilbur.
Chester F Charlton, Jorge F Stallings.
Carmen G Tilley, Jon G Yi.
Thomas H Jean, Roberto H Burroughs.
Lorraine I Roche, David I Enriquez.
Eddie J Huntley, Jacob J Schell.
Samantha K Wills, Elmer K Fort.
Floyd L Doe, Blanche L Stclair.
Leslie M Spivey, Anthony M Augustine.
Brian N Mcmanus, Jessie N Irizarry.
Bessie O Dugan, Elmer O Fortune.
Laurie P Morey, Toni P Marcus.
Katrina Q Swift, Gwendolyn Q Dunham.
Ronnie R Billingsley, Faye R Bloom.
Jaime S Agee, Marguerite S Lujan.
Valerie T Ritter, Ellen T Mcallister.
Ramon O Mixon, Shane V Otto.
Sue W Goldberg, Wallace W Marion.
Dianne Arndt, Jesus Quezada.
George W Whitman, Jim Y Thigpen.
Anita Z Braswell, Joseph Z Arroyo.
Mario Hamby, Katie Dawkins.
Pauline Flanagan, Mabel Chadwick.
Leslie Cosby, Marc Hundley.
Hugh Killian, Lance Reich.
Delores Garland, Margie Wu.
Clinton Godwin, Javier Bernal.
Angie Koenig, Kyle Webber.
Bobbie Jarrell, Elizabeth Ojeda.
April Chong, Reginald Crutcher.
Rhonda Akins, Willie Wadsworth.
Hector Runyon, Marcia Layton.
John Forsythe, Gene Carlton.
Greg Tang, Hattie Box.
Darlene Conn, Brent Stoner.
Calvin Chambers, Glen Mcdonnell.
Jeff Burgos, Helen Tabor.
Alexander Satterfield, Fernando Apodaca.
Elaine Stubbs, Alfredo Heller.
Samantha Faust, Edwin Tolliver.
Annette Regan, Allan Moulton.
Gabriel Lilly, Alfred Leavitt.
Valerie Berrios, Charlotte Trahan.
Jorge Gamboa, Nelson Quiroz.
Dwight Still, Milton Whittaker.
Mark Mayberry, Josephine Tatum.
Jo Kearney, Jacob Mccloud.
Helen Voss, Charlotte Goodson.
Tim Poulin, Jason Dowell.
Ronnie Ivy, Lucille Putnam.
George Dougherty, Velma Benner.
Margaret Romo, Lorraine Free.
April Fontaine, Jennifer Boggs.
Theodore Wyman, Melinda Schofield.
Dan Tavares, Elaine Hollins.
Lillie Pina, Javier Aranda.
Maureen Winfield, Marc Quigley.
Erika Light, Lucille Kirkpatrick.
Jessie Clancy, Vincent Rutherford.
Alexander Cramer, Mitchell Canales.
Claire Shank, Matthew Gallo.
Dale Belcher, Debbie Yoder.
Elsie Escobedo, Sheryl Ellsworth.
Willie Otero, Clarence Oldham.
Theodore Barger, Dwight Dietrich.
Bobbie Peek, Jennie Staples.
Hilda Haskell, Tom Hoff.
Duane Patten, Jared Choate.
Irma Tomlinson, Jose Wellman.
Dwayne Christiansen, April Dubose.
Suzanne Isaacs, Ben Murry.
Arlene Leclair, Kurt Adair.
Christopher Hand, Fernando Westmoreland.
Darlene Butts, Rhonda Everhart.
Faye Hacker, Joanne Felton.
Dustin Coughlin, Suzanne Dunbar.
Mae Humphreys, Brett Aquino.
Marlene Bone, Marguerite Seals.
Chester Kenyon, Vickie Bowens.
Irma Lawler, Bernice Joy.
Lillie Reece, Marcus Novak.
Ellen Mcarthur, Jamie Hollis.
Pauline Reagan, Jordan Metcalf.
Amber Batts, Michele Carrasco.
Debbie Cronin, Josephine Shearer.
Agnes Weir, Eddie Barbosa.
Jamie Abrams, Theodore Needham.
Darryl Easter, Allen Overstreet.
Maxine Bruno, Pedro Gaither.
Beth Eastman, Warren Grissom.
Bob Schuster, Billie Honeycutt.
Francis Sumner, Troy Howland.
Jerome Denton, Curtis Dove.
Ronnie Davila, Joseph Keenan.
Marjorie Koehler, Edwin Cardona.
Clyde Vigil, Violet Hobson.
Troy Elder, Gina Leslie.
Leslie Sorensen, Dan Payton.
Bob Pollock, Ricardo Duff.
Edgar Gavin, Darlene Riddick.
Max Waldrop, Alfred Gore.
Lester Thorne, Ellen Champagne.
Jeanne Markham, Miriam Ireland.
June Ham, Jerome Breen.
Christian Rounds, Kim Walden.
Tom Painter, Esther Godfrey.
Regina Engel, Vicki Rock.
Arlene Spangler, Hattie Grenier.
Eva Edmondson, Michele Fisk.
Jessie Byrnes, Glenda Jeffery.
Oscar Elias, Warren Langford.
Roberto Tolbert, Alvin Wheat.
Allan Nagel, Max Dowling.
Leo Proffitt, Antonio Childress.
Emma Hough, Clifford Kuykendall.
Jamie Kimble, Margie Tibbs.
Thomas Slaughter, Maurice Babcock.
Christian Negron, Maxine Sample.
Nathan Zapata, Felix Hayward.
Bessie Haag, Agnes Wicks.
Eva Warden, Jeff Cockrell.
Jessie Crews, Elsie Hinson.
Arnold Shultz, Clarence Covington.
Greg Sheets, Dolores Hilton.
Miguel Escamilla, Nellie Houle.
Tyrone Olmstead, Ricardo Irby.
Gilbert Cutler, Alfred Bearden.
Lucille Ryder, Suzanne Lavoie.
Alvin Coats, Eunice Irvin.
Bill Fraley, Melvin Donahue.
Sam Binder, Roland Littlejohn.
Darren Guillen, Sue Stubblefield.
Alvin Mcnabb, Maureen Grubb.
Mathew Meehan, Donald Dorman.
Tom Qualls, Angel Dobson.
Myrtle Blakely, Antonio Jett.
Jordan Dowdy, Delores Watt.
Oscar Hamlin, Jeanne Samuels.
Georgia Gunn, Jeanne Hooks.
Luis Anders, Guadalupe Burdick.
Marc Steiner, Lonnie Dunaway.
April Sheridan, Tyler Phipps.
Elmer Coker, Dianne Villegas.
Dora Laws, Elaine Lugo.
Steven Michaels, Bessie Aviles.
Leslie Perdue, Lynn Manley.
Marian Billups, Jesus Jarrett.
Mark Doherty, Dale Devine.
Matthew Rosenberg, Brad Ladner.
Stella Lamm, Angel Peachey.
Jo Canty, Kristi Lumpkin.
Lena Jameson, Billie Simons.
Mattie Martel, Eleanor Smalls.
Edwin Acker, Clyde Way.
Ronnie Diamond, Willie Turpin.
Joanne Chow, Joanne Whitmore.
Bryan Streep, Ricardo Anaya.
Nathan Marcum, Philip Guevara.
Philip Mcnulty, Vincent Osorio.
Yvonne Keaton, Joanne Ervin.
Harriet Farr, Francisco Baugh.
Harriet Fuchs, Alfred Sommers.
Raul Dowd, Christopher Vick.
Thelma Brunner, Tyrone Tovar.
Hattie Henley, Geraldine Herbert.
Tamara Staley, Clifford Schwab.
Renee Crow, Jerome Hillman.
Philip Durbin, Bessie Carranza.
Geraldine Lackey, Adrian Hearn.
Edward Friedman, Grace Mclain.
Charles Lucero, Natalie Gamez.
Mabel Crider, Darren Nicholas.
Jared Maher, Bernard Stringer.
Geraldine Mcmahan, Brent Mccartney.
Dianne Geary, Elaine Luther.
Brent Walling, Bob Vallejo.
Annette Linton, Bill Bello.
Nelson Holbrook, Bertha Stamper.
Marjorie Orozco, Marion Willingham.
Lucille Caruso, Chris Carrier.
Vickie Darden, Nathan Dailey.
Nellie Oliva, Debbie Phelan.
Laurie Montano, Maxine Collazo.
Herbert Lemon, Ida Lehman.
Jaime Hare, Kevin Farrow.
Gene Neumann, Chad Lindquist.
Kristi Kiser, Clara Mcrae.
Delores Folsom, Allan Aldridge.
Gina Kahn, Danielle Cason.
Wallace Silver, Antonio Vogt.
Clarence Biggs, Margaret Goetz.
Carole Kenny, Travis Lunsford.
Brent Xiong, Troy Kessler.
Everett Mcadams, William Rankin.
Duane Samson, Mathew Her.
Glenda Willett, Naomi Kraus.
Leonard Nielson, Vickie Dent.
Jimmie Eggleston, Geraldine Ernst.
Lynn Muse, Francisco John.
Margarita Parson, Marsha Conroy.
Erin Dozier, Julio Etheridge.
Kurt Cousins, Jeanette Newsom.
Alex Negrete, Bertha Hinojosa.
Esther Woodson, Vernon Shanks.
Margie Bernier, Nora Witherspoon.
Jennifer Valdes, Everett Briscoe.
Ivan Girard, Derrick Weller.
Rick Pinson, April Harden.
Chris Harbin, Colleen Kuhn.
Theodore Timmons, Jesus Nunn.
Dwight Crandall, Jackie Khan.
Shane Stroud, Lee Wylie.
James Palacios, Ramon Greenwood.
Sam Butterfield, Miriam Dwyer.
Eunice Paulson, Guadalupe Nye.
Guy Christenson, Sue Crouse.
Marlene Gunter, Viola Shaver.
Edgar Tobin, Jeanne Mott.
Faye Mock, George Swan.
Glenn Pickering, Alex Laird.
Amber Dunning, Jeff Gilchrist.
Myrtle Goodrich, Troy Currie.
Rosie Culbertson, Clayton Hitchcock.
Robert Hawk, Eddie Vandyke.
Tom Sowers, Marguerite Lemay.
Melanie Bautista, Beth Mcdermott.
Dan Ring, Bobbie Guajardo.
Allen Mckinnon, Grace Villa.
Travis Butcher, Roy Quin.
Lillie Casillas, Calvin Lyles.
Leona Outlaw, Ben Peoples.
Earl Mackey, Marguerite Cromwell.
Dolores Eubanks, Agnes Merchant.
Lance Renner, Dave Marroquin.
Darryl Maxey, Carole Weldon.
Dwight Blunt, June Mahon.
Gene Storey, Eva Zavala.
Andre Olivares, Tonya Lemons.
Alfredo Jacob, Kenneth Grogan.
Dave Yancey, Marian Fennell.
Jorge Mackenzie, Mae Brewster.
Cecil Gandy, Willie Erwin.
Charlotte Withers, Regina Loyd.
Curtis Callaway, Deanna Kimbrough.
Jacob Crum, Max Sheffield.
Terri Minter, Bernice Huston.
Felicia Whitten, Mike Vann.
Michele Higginbotham, Glen Norwood.
Olga Danner, Myrtle Crisp.
Darryl Fairchild, Shane Mcclelland.
Kim Ledbetter, Derek Hinkle.
Floyd Locke, Lydia Lowry.
William Pham, Armando Bonds.
Mike Kilgore, Monica Chamberlain.
William Gaskins, Ronald Burkett.
Alfredo Sage, Beatrice Waite.
Carrie Overton, Jessie Mcgill.
Ella Wilkes, Melvin Dyson.
Steve Chambers, Mattie Beaver.
Hattie Helm, Isabel Paris.
Laurie Manuel, Robert Lombardo.
Carole Connolly, Jim Michaud.
Marcia Carlin, Heidi Keener.
Alexander Thibodeau, Dave Parra.
Mike Childers, Michele Coulter.
Jorge Barrios, Sandra Isaac.
Adrian Barclay, Iris Urban.
Billie Kellogg, Ramon Hawks.
Gail Pike, Don Mansfield.
Valerie Rowan, Brandi Snodgrass.
Dale Hyatt, Daniel Harry.
Natalie Souza, Frederick Houck.
Charlie Trent, Melanie Rector.
Jill Lockear, Felix Goforth.
Erik Rhoads, Glenn Cordero.
Steven Leary, Jackie Spurlock.
Eddie Langston, Dale Jude.
Grace Forte, Dora Forman.
Jackie Bair, Lonnie Bower.
Clarence Hardman, Lester Teague.
Eunice Turk, Andre Longoria.
Minnie Lipscomb, Sheryl Hairston.
Beatrice Ridgeway, Alex Martino.
Charlene Ison, Edwin Hedrick.
Christopher Winstead, Carla Reinhardt.
Dolores Lind, Melinda Rooney.
Alexander Fugate, Mike Beaty.
Tyrone Mcneal, Jill Corley.
Cassandra Slack, Jamie Ledesma.
Lester Estep, Jeff Winslow.
Sue Luke, Angel Rust.
Gordon Hurtado, Lorraine Farnsworth.
Jessie Blum, Bessie Latham.
Violet Libby, Dolores Reiter.
Tyler Squires, Danielle Mcghee.
Nellie Priest, Marlene Lemus.
Annette Grayson, Chris Reyna.
Nina Richter, Rick Palumbo.
Wallace Berman, Arlene Murrell.
Paul Houser, Vincent Quarles.
Jamie Rowley, Bernard Majors.
Erik Westbrook, Geneva Lombardi.
Shane Moeller, Jaime Albertson.
Mae Waugh, Melvin Bohannon.
Kristen Goins, Renee Clifford.
Don Mayes, Leslie Linder.
Oscar Schuler, Clinton Pepper.
Antonio Mccormack, Margaret Whitson.
Kristi Parris, June Goldstein.
Bryan Chu, Leslie Barth.
Jennifer Coley, Tyrone Fay.
Caroline Skidmore, Marvin Edward.
Bernice Mchenry, Bill Felder.
Beatrice Peacock, Jordan Chisholm.
Leslie Niles, Constance Comstock.
Kenneth Upton, Oscar Hamel.
Natalie Condon, Emily Schaeffer.
Bryan Krebs, Ruth Lake.
Gertrude Coles, Marc Espinosa.
Beth Braden, Blanche Tyree.
Jordan Mcgregor, Frederick Colburn.
Miriam Carnes, Brad Kincaid.
Jamie Dobbins, Beth Rico.
Danielle Wicker, Ellen Montanez.
Jeff Simms, Barbara Elam.
Kristen Metz, Rosie Mccarter.
Arlene Paquette, Dwayne Lu.
Claire Carlisle, Mitchell Worthy.
Shane Hamblin, Carla Schwarz.
Grace Streeter, Chris Vela.
Ruben Quick, Gertrude Lacey.
Harriet Vest, Mathew Hammer.
Kyle Grubbs, Dana Mcnair.
Chad Haskins, Glenn Early.
Erin Grady, Marguerite Ogle.
Marcus Curley, Hector Mireles.
Ricardo Gough, Guadalupe Fountain.
Juanita Gentile, Mark Serna.
Leo Thurman, Jeanne Edge.
Lance Mcneill, Kenneth Newell.
Caroline Eaves, Grace Grimm.
Marc Thurston, Violet Noe.
Annette Elkins, Toni Craven.
George Pappas, Donna Goss.
Eunice Monk, Derrick Borders.
Julio Lacroix, Bob Swafford.
Steven Wang, Vincent Foote.
Angel Robb, Jimmie Kaplan.
Lester Shockley, Christopher Hammonds.
Elizabeth Greenberg, George Diehl.
Miguel Finn, Clyde Christie.
Claire Ponder, Alfredo Hannon.
Agnes Brothers, Carmen Tompkins.
Carla Triplett, Jessie Harder.
Hazel Purnell, Kyle Huang.
Claude Duarte, Alex Strange.
Angie Messer, Michele Ponce.
Calvin Whatley, Alvin Cahill.
Darrell Gil, Esther Sams.
Angel Mccracken, Troy Meeks.
Brandi Babb, Marion Broussard.
Yvonne Cabral, Oscar Katz.
Erika Vickery, Edgar Hulsey.
Richard Aaron, Mitchell Hargrove.
Hilda Gillette, Lauren Bollinger.
Susan Griffiths, Suzanne Fitch.
Claude Mcintire, Julio Jung.
Joseph Willey, Don Metzger.
Pauline Horner, Joanna Ashworth.
Mae Pendleton, Blanche Major.
Clarence Delong, Alma Lindley.
Greg Leone, Jennifer Mcgraw.
Warren Gauthier, Jeanette Sotelo.
Alicia Nagle, Mabel Power.
Duane Bull, Andre Lanham.
Margaret Thomson, Marcus Schafer.
Mario Israel, Robert Hartley.
Jennie Card, Pedro Corbin.
Elsie Hein, Vivian Spear.
Clayton, Warburg.
Massachusetts Avenue, Washington Boulevard.
Columbus, Spring Street.
Atlantic Avenue, Woodward Avenue.
Franklin Street, Eleven Mile.
Harrison Street, Atlantic Avenue.
Ten Mile Road, Grand Avenue.
Tenth Avenue, Orchard Lake Road.
Tenth Street, Main-Street.
Eleven Mile, Vine Street.
First Avenue, Cleveland Avenue.
Adams Road, Grove Street.
Adams Street, Mill Street.
Airport Boulevard, Roosevelt Boulevard.
Airport Road, Maple Avenue.
Belt Line Road, Memorial Drive.
Beltway Eight, Maple Road.
Bridge Street, Franklin Street.
Broad Street, Jefferson Avenue.
Broadway, Harrison Street.
Broadway Avenue, East Street.
Broadway Street, Court Street.
Yonge Street, Sherbrooke Street.
Notre-Dame Street, Spadina Avenue.
Canal Street, Water Street.
Cedar Street, Union Street.
Center Street, State Street.
Central Avenue, Highland Road.
Chestnut Street, Front Street.
Church Street, Pearl Street.
Clark Street, Cedar Street.
Cleveland Avenue, Macarthur Boulevard.
Clinton Street, First Avenue.
College Avenue, Haggerty Road.
College Street, Central Avenue.
Commerce Street, Euclid Avenue.
County Line Road, University Boulevard.
Court Street, New-York Avenue.
Division Street, West Street.
Dixie Highway, Elm Street.
East Street, Doctor Martin-Luther-King Drive.
El-Camino-Real, Maple Street.
Elm Street, Ford Road.
Euclid Avenue, Kings Highway.
Ford Road, Northwest Highway.
Franklin Road, Canal Street.
Front Street, Liberty Street.
Frontage Road, Western Avenue.
Grand Avenue, Dixie Highway.
Grand River Avenue, College Avenue.
Grove Street, Southfield Road.
Haggerty Road, Lincoln Highway.
Hall Road, El-Camino-Real.
High Street, University Avenue.
Highland Road, Beltway Eight.
Huron Street, Belt Line Road.
Jackson Street, Tenth Street.
Jefferson Avenue, Grand River Avenue.
Jefferson Street, Street South.
King Street, Broadway Street.
Kings Highway, Pleasant Street.
Lake Avenue, Square Lake Road.
Lake Street, Adams Road.
Liberty Street, Tenth Avenue.
Lincoln Avenue, County Line Road.
Lincoln Highway, North Avenue.
Lincoln Street, Broadway Avenue.
Macarthur Boulevard, Broadway.
Madison Avenue, Frontage Road.
Madison Street, Prospect Avenue.
Main-Street, Jackson Street.
Maple Avenue, Pine Street.
Maple Road, River Road.
Maple Street, State Road.
Memorial Drive, North Main-Street.
Michigan Avenue, Huron Street.
Mill Street, Park Avenue.
Monroe Street, Jefferson Street.
North Main-Street, Clinton Street.
New-York Avenue, North Main-Street.
North Avenue, Lake Street.
Street North, Van Dyke Avenue.
Northwest Highway, Massachusetts Avenue.
Oak Street, Center Street.
Orchard Lake Road, Telegraph Road.
Park Avenue, Michigan Avenue.
Park Street, Union Avenue.
Pearl Street, East Main-Street.
Pennsylvania Avenue, Hall Road.
Pine Street, Adams Street.
Pleasant Street, Ridge Road.
Prospect Avenue, Franklin Road.
Ridge Road, Rochester Road.
River Road, Lake Avenue.
Riverside Drive, Clark Street.
Rochester Road, College Street.
Roosevelt Boulevard, Street North.
Street South, Washington Street.
Southfield Road, Madison Avenue.
Spring Street, Airport Boulevard.
Square Lake Road, Commerce Street.
State Road, Division Street.
State-Street, King Street.
Sunrise Highway, Broad Street.
Telegraph Road, Chestnut Street.
Union Avenue, Bridge Street.
Union Street, Sunrise Highway.
University Avenue, Lincoln Avenue.
University Boulevard, Columbus.
University Drive, South Main-Street.
Van Dyke Avenue, Pennsylvania Avenue.
Vine Street, Lincoln Street.
West Main-Street, Park Street.
South Main-Street, Monroe Street.
North Main-Street, University Drive.
East Main-Street, High Street.
Walnut Street, Riverside Drive.
Washington Avenue, Washington Avenue.
Washington Boulevard, West Main-Street.
Washington Street, Church Street.
Water Street, Madison Street.
West Street, Airport Road.
Western Avenue, Walnut Street.
Woodward Avenue, Ten Mile Road.
East Third, Cactus.
Park, Echo.
North Second, Melody.
Forth Street, Kingsley.
First Street, Baldwin.
First Avenue, Olney.
Seventh Street, Ninety-Forth.
Sixth Street East, Carmen.
Ninth Street West, Falcon.
Eighth Street South, Plum.
Twelfth Street North, Winter.
Eleventh Street, One Hundred Twenty-Second.
Tenth Street, Leland.
Washington, Valencia.
Sixteenth Street, Freeman.
Thirteenth Street, Fifteenth.
Seventeenth Street, Cimarron.
Fourteenth Street, Point.
Twenty-First, Interstate Thirty-Five.
Eighteenth Street, Arrowhead.
Main-Street, Gilbert.
Twenty-Third, One Hundred Third Avenue.
Twenty-Second, One Hundred Fourth Avenue.
Twentieth Street, Manchester.
Nineteenth Street, Division.
Sunset, Kansas.
Oak, Saint-Charles.
Twenty-Forth Street, Lindbergh.
Twenty-Fifth Street, Allison.
Pine, Holland.
Jefferson, Irving.
Maple, Parkway.
Lincoln, Lynn.
Thirtieth Street, Hermitage.
Twenty-Eighth Street, Nassau.
Twenty-Sixth Street, Mount-Vernon.
Main-Street North, Apache.
Elm, Argyle.
Twenty-Ninth Street, Mountain.
Twenty-Seventh Street, Henry.
Jackson, Racine.
Thirty-Forth Street, Bennett.
Thirty-Second, Live-Oak.
Cedar, Lotus.
Highland, Osage.
